@relation DFED_10_BOW_weka-weka.filters.unsupervised.attribute.NumericToNominal-R1-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute Class {0,1}
@attribute TextLength numeric
@attribute 2e numeric
@attribute bank numeric
@attribute br numeric
@attribute div numeric
@attribute million numeric
@attribute money numeric
@attribute mr numeric
@attribute nbsp numeric
@attribute transaction numeric
@attribute transfer numeric

@data
0,0.000013,0,0,0,0,0,0,0,0,0,0
0,0.007464,0,0,0,0,0,0,0,0,0,0
0,0.000026,0,0,0,0,0,0,0,0,0,0
0,0.006652,0,0,0,0,0,0,0,0,0,0
0,0.00107,0,0,0,0,0,0,0,0,0,0
1,0.044732,0,0,0,0,0,0,0,0,0,0
1,0.039589,0,0.041667,0,0,0.028571,0.003861,0.008621,0,0.125,1
1,0.003017,0,0,0,0,0,0,0,0,0.0625,0
0,0.000284,0,0,0,0,0,0,0,0,0,0
1,0.0243,0.003272,0,0,0,0.028571,0.011583,0,0,0.0625,1
0,0.001586,0,0,0,0,0,0,0,0,0,0
0,0.001044,0,0,0,0,0,0,0,0,0,0
1,0.024661,0.004499,0,0,0,0.028571,0.011583,0.008621,0,0.0625,0
1,0.041625,0,0.625,0,0,0.028571,0.03861,0.025862,0,0.1875,2
0,0.000683,0,0,0,0,0,0,0,0,0,0
0,0.000941,0,0,0,0,0,0,0,0,0,0
0,0.001972,0,0,0,0,0,0,0,0,0,0
1,0.042966,0.006544,0.083333,0,0,0.028571,0.011583,0,0,0,0
0,0.002153,0,0,0,0,0,0,0,0,0,0
0,0.050456,0,0,0,0,0,0,0,0,0,0
0,0.000915,0,0,0,0,0,0,0,0,0,0
1,0.035528,0.006135,0.083333,0,0,0,0,0.017241,0,0.4375,1
0,0.128833,0,0,0,0,0,0,0,0,0,0
1,0.045003,0,0.041667,0,0,0.114286,0,0,0,0.125,0
0,0.000271,0,0,0,0,0,0,0,0,0,0
0,0.000271,0,0,0,0,0,0,0,0,0,0
0,0.098733,0,0,0,0,0,0,0,0,0,0
0,0.001831,0,0,0,0,0,0,0,0,0,0
0,0.000309,0,0,0,0,0,0,0,0,0,0
0,0.000864,0,0,0,0,0,0,0,0,0,0
0,0.004383,0,0,0,0,0,0,0,0,0,0
1,0.029521,0,0,0,0,0.028571,0.003861,0.017241,0,0.1875,2
1,0.030565,0.003272,0,0,0,0,0.034749,0.008621,0,0.0625,0
0,0.001147,0,0,0,0,0,0,0,0,0,0
0,0.020755,0,0,0,0,0,0,0,0,0,0
0,0.000877,0,0,0,0,0,0,0,0,0,0
0,0.011267,0,0,0,0,0,0,0,0,0,0
1,0.035309,0,0.291667,0,0,0.028571,0.011583,0.008621,0,0,0
0,0.000567,0,0,0,0,0,0,0,0,0,0
0,0.000993,0,0,0,0,0,0,0,0,0,0
0,0.000219,0,0,0,0,0,0,0,0,0,0
0,0.001972,0,0,0,0,0,0,0,0,0,0
1,0.044925,0,0,0,0,0.028571,0.023166,0,0,0.0625,0
0,0.001057,0,0,0,0,0,0,0,0,0,0
1,0.01855,0,0,0,0,0.028571,0.007722,0.017241,0,0.125,0
0,0.019775,0,0,0,0,0,0,0,0,0,0
1,0.216158,0,1,0,0,0.228571,0.247104,0,0,1,8
0,0.00009,0,0,0,0,0,0,0,0,0,0
0,0.001715,0,0,0,0,0,0,0,0,0,0
0,0.000026,0,0,0,0,0,0,0,0,0,0
1,0.042553,0,0.333333,0,0,0.028571,0.023166,0.034483,0,0.125,2
0,0.000013,0,0,0,0,0,0,0,0,0,0
0,0.001006,0,0,0,0,0,0,0,0,0,0
1,0.030191,0,0.041667,0,0,0,0.011583,0.017241,0,0,0
0,0.000284,0,0,0,0,0,0,0,0,0,0
0,0.000142,0,0,0,0,0,0,0,0,0,0
0,0.001831,0,0,0,0,0,0,0,0,0,0
0,0.00067,0,0,0,0,0,0,0,0,0,0
1,0.050623,0,0.041667,0.061765,0.106383,0,0,0,0.032368,0.0625,1
0,0.000451,0,0,0,0,0,0,0,0,0,0
1,0.022547,0,0,0.023529,0.014184,0.028571,0,0,0.001704,0,0
0,0.000271,0,0,0,0,0,0,0,0,0,0
0,0.129414,0,0,0,0,0,0,0,0,0,0
0,0.006446,0,0,0,0,0,0,0,0,0,0
