Class,TextLength,2e,account,bank,br,div,kin,mail,million,money,mr,nbsp,security,state,strong,sum,time,transaction,transfer,united,years
1,3102,0,20.165749,27.666325,0,0,30.654306,9.149989,10.734952,29.727064,14.609616,0,0,0,0,23.914688,9.082874,32.667713,21.084612,0,11.957344
1,2916,0,31.830221,25.164486,0,0,0,9.149989,25.443377,36.733768,13.823215,0,0,0,9.957344,0,0,23.914688,24.986776,22.440756,0
0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1386,0,27.546623,19.469904,0,0,0,9.149989,0,0,0,0,0,0,0,0,0,30.909286,10.542306,0,0
1,3201,0,23.897858,28.511621,0,0,32.862122,0,10.734952,36.733768,10.695099,0,0,0,0,11.957344,0,11.957344,10.542306,0,11.957344
1,1325,0,23.897858,0,0,0,0,9.149989,21.469904,0,0,0,0,0,0,11.957344,9.082874,11.957344,10.542306,11.220378,0
1,3911,0,27.546623,19.469904,26.204857,23.984253,29.004257,9.149989,10.734952,29.727064,10.695099,35.863373,0,0,35.904602,0,0,23.914688,10.542306,0,11.957344
0,998,0,0,0,0,0,0,23.65238,0,0,0,0,0,29.935692,0,0,0,0,0,0,0
1,3882,0,20.165749,9.734952,0,0,0,18.299978,0,0,5.347549,0,0,0,0,0,9.082874,30.909286,0,0,0
1,4015,0,10.082874,19.469904,29.016882,23.492611,22.440756,0,10.734952,12.542306,5.347549,37.280487,0,0,32.513149,0,0,28.34062,10.542306,0,0
0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1514,0,10.082874,23.073233,0,0,26.593904,18.299978,10.734952,12.542306,5.347549,0,0,0,0,11.957344,9.082874,0,10.542306,11.220378,0
0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,94,0,0,0,0,0,0,0,0,0,0,0,0,10.957344,0,0,0,0,0,0,0
1,3890,0,26.063852,28.511621,0,0,32.862122,0,25.443377,34.265842,0,0,0,0,0,11.957344,0,11.957344,24.986776,0,11.957344
0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3615,0,20.165749,27.666325,33.336731,17.453678,29.004257,0,10.734952,29.727064,14.609616,9.734952,0,0,0,23.914688,9.082874,23.914688,21.084612,0,11.957344
0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3049,36.27319,0,0,0,0,0,9.149989,0,12.542306,5.347549,0,0,0,0,0,0,23.914688,0,0,23.914688
0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3208,0,0,0,33.174332,0,0,9.149989,0,29.727064,5.347549,0,21.914688,10.957344,0,23.914688,0,28.34062,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.957344,0,0,0
0,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1499,31.887844,0,0,0,0,0,0,0,25.084612,0,0,0,0,0,0,0,11.957344,0,0,0
0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3201,0,27.546623,9.734952,0,0,22.440756,9.149989,21.469904,29.727064,5.347549,0,0,0,0,0,0,28.34062,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,579,0,0,0,0,0,0,0,0,0,0,0,10.957344,10.957344,0,0,0,0,0,0,0
0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,516,0,0,0,0,0,0,0,0,0,0,0,0,10.957344,0,0,0,0,0,0,0
0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3071,0,10.082874,9.734952,0,0,22.440756,0,10.734952,12.542306,5.347549,0,0,0,0,0,0,23.914688,10.542306,0,0
1,234,0,0,0,0,0,0,9.149989,0,0,0,0,0,0,0,0,0,11.957344,0,0,0
0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1885,33.661133,23.897858,0,0,0,0,0,10.734952,29.727064,0,0,10.957344,0,0,0,0,11.957344,10.542306,0,0
0,123,0,0,0,0,0,0,0,0,0,0,0,0,10.957344,0,0,0,0,0,0,0
0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
